Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒂾,73918,𒂾,120BE,letter,CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL,⠛⠁⠡⠁⠩⠬⠛⠁⠇
𒂿,73919,𒂿,120BF,letter,CUNEIFORM SIGN GA2 TIMES BAD,⠛⠁⠡⠃⠁⠙
𒃀,73920,𒃀,120C0,letter,CUNEIFORM SIGN GA2 TIMES BAR PLUS RA,⠛⠁⠡⠃⠜⠬⠗⠁
𒃁,73921,𒃁,120C1,letter,CUNEIFORM SIGN GA2 TIMES BUR,⠛⠁⠡⠃⠥⠗
𒃂,73922,𒃂,120C2,letter,CUNEIFORM SIGN GA2 TIMES BUR PLUS RA,⠛⠁⠡⠃⠥⠗⠬⠗⠁
𒃃,73923,𒃃,120C3,letter,CUNEIFORM SIGN GA2 TIMES DA,⠛⠁⠡⠙⠁
𒃄,73924,𒃄,120C4,letter,CUNEIFORM SIGN GA2 TIMES DI,⠛⠁⠡⠙⠊
𒃅,73925,𒃅,120C5,letter,CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE,⠛⠁⠡⠙⠊⠍⠡⠩⠑
𒃆,73926,𒃆,120C6,letter,CUNEIFORM SIGN GA2 TIMES DUB,⠛⠁⠡⠙⠥⠃
𒃇,73927,𒃇,120C7,letter,CUNEIFORM SIGN GA2 TIMES EL,⠛⠁⠡⠑⠇
𒃈,73928,𒃈,120C8,letter,CUNEIFORM SIGN GA2 TIMES EL PLUS LA,⠛⠁⠡⠑⠇⠬⠇⠁
𒃉,73929,𒃉,120C9,letter,CUNEIFORM SIGN GA2 TIMES EN,⠛⠁⠡⠑⠝
𒃊,73930,𒃊,120CA,letter,CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU,⠛⠁⠡⠑⠝⠡⠛⠁⠝ ⠞⠑⠝⠥
𒃋,73931,𒃋,120CB,letter,CUNEIFORM SIGN GA2 TIMES GAN2 TENU,⠛⠁⠡⠛⠁⠝ ⠞⠑⠝⠥
𒃌,73932,𒃌,120CC,letter,CUNEIFORM SIGN GA2 TIMES GAR,⠛⠁⠡⠛⠜
𒃍,73933,𒃍,120CD,letter,CUNEIFORM SIGN GA2 TIMES GI,⠛⠁⠡⠛⠊
𒃎,73934,𒃎,120CE,letter,CUNEIFORM SIGN GA2 TIMES GI4,⠛⠁⠡⠛⠊⠲
𒃏,73935,𒃏,120CF,letter,CUNEIFORM SIGN GA2 TIMES GI4 PLUS A,⠛⠁⠡⠛⠊⠲⠬⠁
𒃐,73936,𒃐,120D0,letter,CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU,⠛⠁⠡⠛⠊⠗⠬⠎⠥
𒃑,73937,𒃑,120D1,letter,CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2,⠛⠁⠡⠓⠁⠬⠇⠥⠬⠑⠩
𒃒,73938,𒃒,120D2,letter,CUNEIFORM SIGN GA2 TIMES HAL,⠛⠁⠡⠓⠁⠇
𒃓,73939,𒃓,120D3,letter,CUNEIFORM SIGN GA2 TIMES HAL PLUS LA,⠛⠁⠡⠓⠁⠇⠬⠇⠁
𒃔,73940,𒃔,120D4,letter,CUNEIFORM SIGN GA2 TIMES HI PLUS LI,⠛⠁⠡⠓⠊⠬⠇⠊
